"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZNF473",3.97894562166608e-08,0.142807274320106,0.314,0.191,0.000840711420401827
"CPSF6",3.98371076495926e-08,0.209295757561238,0.91,0.864,0.000841718247528243
"NSUN5",4.00438166531626e-08,0.200453763846711,0.759,0.637,0.000846085802064672
"NOD2",4.00874766533764e-08,0.12817499361571,0.197,0.101,0.00084700829420919
"ZXDB",4.00967875289561e-08,0.176572385108163,0.451,0.315,0.000847205023699313
"RPL35A",4.01390934654888e-08,0.0877778838086707,1,1,0.000848098905832313
"S100A8",4.042536183343e-08,-0.418941748702432,0.21,0.329,0.000854147470178543
"YIPF4",4.05275225343416e-08,-0.233295161128394,0.558,0.667,0.000856306023628103
"PTPRU",4.05379698752768e-08,0.157306748402452,0.449,0.305,0.000856526765494724
"ATP1A1",4.10767726704492e-08,0.191443384576962,0.893,0.823,0.00086791112975392
"INTS7",4.11959859136518e-08,0.190233472412634,0.491,0.35,0.000870429986369549
"GTF2I",4.13787356167292e-08,-0.171193510891472,0.987,0.985,0.000874291304845872
"CD58",4.13900228018916e-08,0.139665395250133,0.329,0.201,0.000874529791781169
"PAXIP1",4.14700409192222e-08,0.156186136489346,0.367,0.236,0.000876220494582247
"MOSMO",4.15337789306214e-08,0.174685125861631,0.352,0.228,0.0008775672150251
"SCAMP1-AS1",4.16092602082085e-08,-0.216957483838907,0.235,0.361,0.000879162058939238
"SNAPC1",4.17918043034919e-08,0.143887508421256,0.333,0.207,0.000883019033128481
"RASL10B",4.18122846087953e-08,-0.163002752725185,0.069,0.17,0.000883451761499235
"SHMT1",4.20102202974794e-08,0.127877607779764,0.226,0.122,0.000887633944665442
"RAB27A",4.23483774726951e-08,0.148377502128669,0.346,0.218,0.000894778867620574
"ATXN7L3B",4.25139244455824e-08,0.183920208630268,0.975,0.946,0.00089827670961071
"THBD",4.26436422525061e-08,0.150234951765547,0.423,0.281,0.000901017517153201
