"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CRISP3",2.09036167647408e-146,-4.17228353426659,0.774,1,4.41672518622208e-142
"CXCL14",1.54787587102679e-144,2.9073630557719,1,0.976,3.2705069278925e-140
"SLITRK6",7.64236216324634e-142,-2.78964861339252,0.338,0.978,1.61475470147232e-137
"CRABP2",3.43953713834993e-134,-1.08480915899661,1,1,7.26739801961956e-130
"RPSA",5.2559785543575e-132,0.815038145934595,1,1,1.1105357087502e-127
"VTCN1",3.60645730524999e-131,-2.22382622730525,0.407,0.973,7.62008364026271e-127
"IGFBP5",3.37887984404741e-130,-1.10343349896158,1,1,7.13923522248778e-126
"RPL15",4.38592163794994e-126,0.670168812405851,1,1,9.26701382882442e-122
"IFI27",9.18514530271005e-125,1.1473330191427,1,1,1.94072935100961e-120
"TTLL12",2.9945128306818e-124,2.2604516587059,0.996,0.831,6.32710615994758e-120
"RPL7",4.81362499125065e-124,0.796229105028179,1,1,1.01707082440135e-119
"C6orf141",5.94256302178196e-117,-2.036296825193,0.451,0.958,1.25560414087231e-112
"EFHD1",7.26945352805281e-114,-1.4589034532017,0.914,0.998,1.53596283594228e-109
"CCND1",1.05389028579109e-113,1.10010919762014,1,1,2.226764784848e-109
"GFRA1",2.55461974643426e-112,1.78912896309903,0.994,0.961,5.39765606224096e-108
"AZGP1",8.10793967446212e-112,-1.14157225526707,0.996,1,1.7131265738171e-107
"RPL14",1.48883319146169e-109,0.730446571434764,1,1,3.1457556502394e-105
"RPS14",1.64810063231713e-109,0.537714671596621,1,1,3.48227182602286e-105
"CALML5",1.71809966792105e-108,-0.681892302692983,1,1,3.63017278835039e-104
"EVL",2.53242550353534e-108,0.973810870435924,1,0.998,5.35076184641983e-104
"TMSB10",5.79708641981722e-104,-0.521858834983337,1,1,1.22486638964318e-99
"H2AFJ",1.31798335437512e-102,-1.04126542208619,0.996,1,2.78476702945919e-98
"RPL34",3.70805156311446e-102,0.654471697142823,1,1,7.83474214770454e-98
"PSMA6",2.82821629531517e-101,-0.907955961541551,1,1,5.97573821037143e-97
"DEGS1",1.26548099732011e-99,1.43917931688883,1,0.973,2.67383479923766e-95
"THBS1",5.56258284479926e-99,1.3154666220527,0.998,0.768,1.17531812927764e-94
"MPC2",4.44002403530301e-98,-1.18652940173225,0.937,1,9.38132678419173e-94
"SPAG6",1.08746134584777e-96,1.35089936371129,0.83,0.152,2.29769707764176e-92
"SERHL2",3.22742860678509e-96,-1.31039929201415,0.96,0.998,6.81923390327621e-92
"RPS3A",7.15380741644016e-96,0.594507192962485,1,1,1.51152796901964e-91
"IGHE",9.45262794054906e-96,1.38901086684102,0.973,0.663,1.99724575755861e-91
"S100A14",4.06024397985187e-95,-1.02394158285656,0.99,1,8.57888950502901e-91
"MAB21L4",1.83402102812547e-94,-1.36467074904742,0.256,0.873,3.87510303032631e-90
"RPS20",3.04821262320075e-94,0.60767387246394,1,1,6.44056845156087e-90
"MESP1",2.57601308100437e-93,-1.45557292713313,0.702,0.978,5.44285803885412e-89
"RPS2",7.2476868750436e-93,0.483869736690074,1,1,1.53136375982796e-88
"IFI6",1.65386831858807e-91,-0.996007015647435,1,1,3.49445837034473e-87
"AC093001.1",6.7879994749148e-89,-1.60596272404038,0.325,0.873,1.43423640905475e-84
"DSP",7.28231023618626e-89,-0.859526720228978,0.99,1,1.53867932980379e-84
"BRINP3",1.15746030865401e-87,1.11662608662373,0.79,0.127,2.44559788615507e-83
"CRAT",1.21228596845271e-87,1.20294579603189,0.979,0.751,2.56143902274373e-83
"IER3",1.60174050335732e-87,-1.27342481965419,0.941,0.998,3.38431750954369e-83
"GNG5",1.93524379702772e-87,0.872944554685001,1,1,4.08897661873988e-83
"UQCRQ",2.63810457022961e-87,0.492920757450276,1,1,5.57405114643815e-83
"TGM2",6.00912361722968e-87,1.43143612094141,0.971,0.604,1.26966772908446e-82
"ILF2",5.19880243885328e-86,-0.921429092379562,0.983,1,1.09845496730531e-81
"MAGED2",1.77089031143784e-84,0.798060474474131,1,1,3.74171413903701e-80
"DDR1",3.56396911823658e-84,-0.797518811818993,0.994,1,7.53031034992207e-80
"RPL10",1.32071706903903e-83,0.370563227379099,1,1,2.79054309517256e-79
"Z82214.2",5.20790622322899e-83,1.30113731479682,0.767,0.142,1.10037850590605e-78
"RAB11FIP1",2.42084632958749e-82,-0.984693226947771,0.95,1,5.1150062097854e-78
"LAMB2",3.4458325669834e-82,0.951239010416894,0.998,0.914,7.28069963077923e-78
"ARPP21",3.85156156576151e-82,1.44878549239326,0.79,0.186,8.13796443229749e-78
"NEAT1",3.15480382634748e-81,0.705005014408122,1,1,6.66578500468959e-77
"TFF3",4.49214649571969e-81,-0.92411218311508,1,1,9.49145633080613e-77
"GALNT6",9.21551136957619e-81,0.665975586109925,1,1,1.94714539727775e-76
"RMND1",1.00430169438783e-80,1.36019156912427,0.908,0.496,2.12198905007204e-76
"H3F3A",1.04527651339722e-80,-0.512022638224213,1,1,2.20856474515698e-76
"AGR2",3.26117271802255e-80,0.992017245474723,1,1,6.89053183590984e-76
"FBN2",6.73929416599523e-80,1.1733635203467,0.929,0.523,1.42394546433313e-75
"PDLIM1",1.25674897120711e-79,-1.09707897869509,0.862,0.99,2.6553849012635e-75
"RACK1",4.61151655971291e-79,0.462761335388667,1,1,9.74367333901742e-75
"TCIM",2.03294970269809e-78,1.22414634253612,0.941,0.572,4.2954194268308e-74
"COL2A1",1.27559208376399e-77,1.36777341419321,0.872,0.362,2.69519851378493e-73
"TFF1",4.94972678629833e-77,-1.42308561116115,0.887,0.993,1.04582777267697e-72
"TAGLN2",6.36441511364144e-76,-0.580019873154606,1,1,1.3447372693613e-71
"COPS9",1.29515078423256e-75,-0.770273816601231,0.998,1,2.73652409200497e-71
"CYP4B1",4.55962488316154e-75,-1.18969433839588,0.468,0.919,9.63403141563201e-71
"MUC1",2.51899010720544e-74,0.472614215581308,1,1,5.32237419751436e-70
"CDH1",5.40004559295271e-74,-0.865103056451633,0.992,1,1.14097563333498e-69
"CCT3",6.59719089994669e-74,-0.696146579480845,0.994,1,1.39392046524974e-69
"SIRLNT",8.004615496798e-74,1.04776479097164,0.948,0.667,1.69129520831845e-69
"DBI",9.91786921336334e-74,-0.828380514788901,0.99,1,2.09554658609154e-69
"SNHG6",8.43527894063843e-73,0.767131181124791,0.998,0.985,1.78229008736749e-68
"RHOB",1.3132767985425e-72,-0.843879043519505,0.987,0.998,2.77482254764045e-68
"RPLP1",2.69563785108209e-72,0.364186581599697,1,1,5.69561321555136e-68
"CEACAM6",2.21658414893197e-71,-1.13351552358328,0.558,0.939,4.68342064827837e-67
"PSD3",1.79596417364486e-70,1.01390533474397,0.864,0.379,3.79469270249422e-66
"KCNMA1",1.93215930435653e-70,1.0103892713355,0.836,0.274,4.08245939417492e-66
"COX6C",2.91237979494762e-70,-0.824747410311451,1,1,6.15356726874482e-66
"PFKFB3",1.39293912101121e-69,1.05697094993171,0.96,0.711,2.94314106878458e-65
"TCEAL4",3.15394138157089e-69,0.592419594725857,1,1,6.66396274512114e-65
"CRISP2",3.6950452656186e-69,-0.955589999908075,0.111,0.663,7.80726114172554e-65
"CHCHD2",6.75691082375932e-69,-0.529763096029671,1,1,1.42766768795211e-64
"SH3BGRL",6.79050733749797e-69,0.952954646739398,0.985,0.836,1.43476629533995e-64
"HES1",2.25053037120672e-68,-1.08609290469196,0.646,0.934,4.75514562132267e-64
"BMERB1",8.45802718636153e-68,1.01237809856098,0.918,0.535,1.78709656420633e-63
"LGALS8",1.071966185579e-66,-0.933619639527632,0.736,0.966,2.26495735350987e-62
"BMI1",1.36561722869083e-66,0.809589808409405,0.996,0.949,2.88541264250087e-62
"PEA15",1.59197818978383e-66,-0.931964841981225,0.866,0.98,3.36369071719426e-62
"IL6ST",2.98982532806506e-66,-0.756309064945745,0.998,1,6.31720193566867e-62
"RPS28",4.54451503892334e-66,0.366054699637777,1,1,9.60210582574112e-62
"LAPTM4B",5.0846397049649e-66,-0.900707386987029,0.839,0.985,1.07433352326203e-61
"ARHGDIB",1.44496467578342e-65,-0.881678366125463,0.868,0.988,3.05306586346278e-61
"RNPEP",2.27664873312182e-65,-0.885407572547715,0.832,0.976,4.81033110821308e-61
"SDHC",2.27723538032421e-65,-0.790042636098365,0.931,0.998,4.81157063508703e-61
"SELENOM",2.53977441119668e-65,0.77950548529674,1,0.951,5.36628935341747e-61
"TMCO1",4.16117062564103e-65,-0.847883448616771,0.91,0.993,8.79213741491694e-61
"GAS5",4.80376964753758e-65,0.673894998680134,1,0.998,1.01498848882821e-60
"IMPDH2",7.35422142323968e-65,0.682084689162461,1,0.988,1.55387344451631e-60
"HSPA1A",1.54372599884508e-64,0.545689966168599,1,1,3.26173866295976e-60
"MUC5B",1.89646577949664e-64,-0.897545040274967,0.86,0.995,4.00704254549846e-60
"ZNF703",2.12040523669864e-64,-0.604024344713201,1,1,4.48020422462056e-60
"SREBF1",3.47994382298658e-64,1.01242356162743,0.975,0.9,7.35277330358834e-60
"CSDE1",5.9688543379958e-64,-0.707097829535697,0.95,0.998,1.26115923307513e-59
"SLC7A2",6.14551803283421e-64,1.09376145490309,0.904,0.55,1.29848650515754e-59
"ARMT1",1.4957876648035e-63,1.37006407112925,0.971,0.897,3.16044975696333e-59
"IP6K2",1.62453079868866e-63,0.806410897741897,0.985,0.888,3.43247112454927e-59
"CCNO",4.72250913606859e-63,0.894674262047804,0.759,0.235,9.97818955359932e-59
"FAM234B",1.47020824597685e-62,-0.807250285736504,0.969,0.998,3.10640300292449e-58
"NEDD8",2.16381084165391e-62,-0.718564391366964,0.983,1,4.57191592733054e-58
"AP2B1",2.87602651045504e-62,-0.810574009827636,0.864,0.985,6.07675641394046e-58
"NENF",1.25760899269219e-61,-0.674001376329113,0.99,1,2.65720204065933e-57
"S100A13",7.52567076354729e-61,-0.434660385831726,1,1,1.59009897562991e-56
"NEDD4L",6.13824060161314e-60,-0.813552486992875,0.95,0.998,1.29694885671484e-55
"PRKACB",9.99580422574503e-60,0.912138860516263,0.973,0.826,2.11201347485767e-55
"ANKRD30B",1.23656583417207e-59,-1.01610192278555,0.501,0.885,2.61273995102218e-55
"MGST1",2.21792674550563e-59,-0.980168459076753,0.279,0.773,4.68625742057884e-55
"C19orf33",7.03967860023928e-59,0.67712376935141,0.998,0.956,1.48741369144456e-54
"TSPAN1",9.5379689422899e-59,-0.874915198730073,0.759,0.958,2.01527745781643e-54
"TMA7",2.32437841903613e-58,0.450295372505048,1,1,4.91117916158144e-54
"SNX22",2.49476067737565e-58,0.881930203057601,0.816,0.352,5.27117983522702e-54
"PSMB4",4.80091874296892e-58,0.436412198137178,1,1,1.0143861212019e-53
"MORF4L2",5.08910271318831e-58,0.467158228519992,1,1,1.07527651226956e-53
"HDGF",5.98725944908214e-58,-0.655547461109669,0.979,0.995,1.26504804899657e-53
"CMTM8",7.80439151739966e-58,0.886472930705755,0.851,0.435,1.64898988371137e-53
"MT2A",9.24777526870331e-58,0.558731726932144,1,1,1.95396243652432e-53
"CD24",1.09275370135437e-57,-0.468752080518658,1,1,2.30887929559165e-53
"UQCRC1",1.68423539101102e-57,0.634767870024619,0.998,0.99,3.55862095766719e-53
"LAMTOR2",1.89535244468407e-57,-0.671117063950145,0.96,1,4.00469018037296e-53
"KCTD3",2.24344828277211e-57,-0.853267873785977,0.864,0.99,4.74018187666918e-53
"RPL6",3.37971504626255e-57,0.403448665957372,1,1,7.14099992124814e-53
"PTMA",3.56273925815743e-57,-0.3251750507047,1,1,7.52771177856084e-53
"SDC4",8.4329507935145e-57,-0.582568552574068,0.998,1,1.78179817316168e-52
"B4GALT1",9.03160324406967e-57,-0.783994310128076,0.931,0.998,1.90828744943948e-52
"ALDH2",1.30244693102653e-56,-0.943172394997699,0.465,0.873,2.75194012056596e-52
"ECM1",1.47441762625823e-56,-1.16193525850237,0.474,0.875,3.115297002521e-52
"LMCD1",2.22538080154186e-56,0.965060549489211,0.784,0.32,4.70200709557779e-52
"RPL8",3.48782570249107e-56,0.297168525012982,1,1,7.36942692679338e-52
"RPS3",3.60234555473796e-56,0.426331160200318,1,1,7.61139592260583e-52
"SLC7A8",1.67167146626752e-55,-0.913212734890315,0.405,0.836,3.53207464107664e-51
"CRIP1",5.07269288001955e-55,0.258199181952122,1,1,1.07180927861933e-50
"RPL39",6.59851656680747e-55,0.31214426701747,1,1,1.39420056540075e-50
"ACAT1",8.67640523693543e-55,0.805677464112821,0.956,0.748,1.83323766251209e-50
"DAD1",1.27023369792406e-54,-0.711209166338495,0.941,0.993,2.68387678034374e-50
"TNFSF10",2.50147916731556e-54,-0.620995614372517,1,1,5.28537533262104e-50
"BHLHE40",2.54059390313229e-54,0.67432914315415,0.998,0.956,5.36802085792822e-50
"PMP22",2.56317567746055e-54,0.836485282188578,0.876,0.482,5.41573388890639e-50
"CXCL17",2.85228330761677e-54,-0.91145596701423,0.275,0.741,6.02658940066347e-50
"SELENOP",3.0897598189931e-54,-0.867212396227298,0.939,0.993,6.52835352155053e-50
"COPA",3.85114294075662e-54,-0.722719943232327,0.935,0.985,8.13707991952467e-50
"FAM110A",4.58760696314881e-54,-0.85485107662284,0.816,0.971,9.69315475243713e-50
"HSPA6",5.94378796619925e-54,-0.990517090923222,0.35,0.773,1.25586295937824e-49
"SQSTM1",1.16814651237983e-53,0.450257654780966,1,1,2.46817676600734e-49
"GNAS",4.20092402701532e-53,-0.42833930053119,1,1,8.87613237668066e-49
"SLC9A3R1",5.84691257645941e-53,-0.446605765104616,1,1,1.23539415828011e-48
"PYCARD",1.01205562726548e-52,0.663141434502364,0.998,0.99,2.13837233484922e-48
"AL391001.1",1.29122883573314e-52,-0.848525063605052,0.667,0.924,2.72823740702055e-48
"CNDP2",2.6840504775848e-52,-0.665278366398922,0.964,0.995,5.67113025408893e-48
"RPL35",2.93851933689993e-52,0.314442643018446,1,1,6.20879750693587e-48
"BLVRA",1.33632112768544e-51,-0.779448096338616,0.792,0.958,2.82351291068656e-47
"ADORA2A",3.471707346726e-51,0.812243243497389,0.996,0.822,7.33537045289736e-47
"ALDH3B2",7.43427819952384e-51,-0.9574106003603,0.495,0.844,1.57078864077739e-46
"PSMB5",1.01830687319908e-50,-0.715892756679733,0.895,0.985,2.15158059238233e-46
"PLP2",1.20960572150741e-50,0.790551502334057,0.958,0.819,2.555775928973e-46
"NDUFS2",1.3817200612718e-50,-0.73700693517081,0.899,0.995,2.9194363174612e-46
"MYEOV",1.85990776061262e-50,0.659183429676626,0.53,0.064,3.92979910739841e-46
"ABCC12",3.3447969232581e-50,-0.90090254767711,0.184,0.641,7.06722141915204e-46
"ADAR",7.92293191981826e-50,-0.445572056841455,1,1,1.6740362853384e-45
"ABCC11",1.53167546324884e-49,-1.03279711963866,0.442,0.807,3.23627708629846e-45
"EPPK1",3.09761372947932e-49,0.789462501272766,0.832,0.413,6.54494804901685e-45
"IFIT1",3.17082358141125e-49,-0.939234183413753,0.885,0.978,6.69963314516383e-45
"RAB5C",3.99462690380174e-49,-0.513925089961428,0.998,1,8.44024718504269e-45
"CSTA",4.8459011105981e-49,-0.834567858961305,0.723,0.966,1.02389044565827e-44
"RPS29",6.56282413909242e-49,0.271060189897643,1,1,1.38665911234884e-44
"PHGR1",8.80069671500375e-49,0.863211688203076,0.843,0.526,1.85949920891314e-44
"PRLR",9.48718845488077e-49,-0.801806530390857,0.7,0.951,2.00454804863176e-44
"APEX1",1.19550546038811e-48,-0.715839985277435,0.826,0.973,2.52598348725404e-44
"UBP1",2.43850378595294e-48,0.770206378850891,0.941,0.709,5.15231464933997e-44
"MAZ",4.1347965718797e-48,0.548131452022963,1,1,8.73641167672461e-44
"CTNNB1",6.04149205621646e-48,0.585557328788368,1,0.983,1.27650685655797e-43
"PDCD4",6.60242186852774e-48,-0.90659637315328,0.889,0.978,1.39502571660123e-43
"RGL2",1.22359006814785e-47,-0.65967504766108,0.935,0.99,2.58532345498958e-43
"KIAA2012-AS1",1.33681113758041e-47,-0.878480600765949,0.245,0.682,2.82454825259364e-43
"TOB1",1.38184882127777e-47,-0.592792539326671,0.981,1,2.9197083744778e-43
"RPL24",1.51506151567714e-47,0.360687994137116,1,1,3.20117347647424e-43
"OCLN",1.6114282005008e-47,-0.740998376490293,0.851,0.958,3.40478664483814e-43
"RPS26",1.62266535676185e-47,0.310895456691434,1,1,3.42852963230212e-43
"ACADSB",1.63069889689494e-47,-0.887609625072406,0.906,0.983,3.44550369924932e-43
